CustomerID,Entropy,i,iu,imax,tot_sales,mean_sales
12347,1.945910149055313,2458,103,319,481.2099999999999,68.74428571428571
12348,1.3862943611198906,2341,22,1254,178.70999999999998,44.6775
12350,-0.0,197,17,197,65.3,65.3
12352,2.0794415416798357,473,59,98,1337.4200000000012,167.17749999999998
12353,-0.0,20,4,20,24.299999999999997,24.299999999999997
12354,-0.0,530,58,530,261.21999999999986,261.21999999999986
12355,-0.0,240,13,240,54.65,54.65
12356,1.0986122886681096,1591,53,1216,188.86999999999995,62.95666666666667
12358,0.6931471805599453,248,13,100,157.21000000000004,78.605
12360,1.0986122886681096,1165,105,434,457.9100000000001,152.63666666666668
12361,-0.0,91,10,91,33.349999999999994,33.349999999999994
12362,2.3025850929940455,2222,198,229,1026.3400000000006,102.63400000000001
12363,0.6931471805599453,408,23,282,53.17,26.584999999999997
12364,1.3862943611198906,1506,70,555,162.36999999999972,40.5925
12365,-0.0,173,21,173,56.62000000000002,56.62000000000002
12367,-0.0,173,11,173,35.2,35.2
12370,1.3862943611198906,2352,143,916,463.8999999999999,115.97499999999998
12371,0.6931471805599453,591,63,582,244.07999999999998,122.03999999999999
12372,1.0986122886681096,794,34,224,156.07000000000002,52.02333333333333
12373,-0.0,197,14,197,64.15,64.15
12374,-0.0,342,33,342,139.25,139.25
12375,0.6931471805599453,178,14,87,117.52,58.760000000000005
12377,0.6931471805599453,944,72,604,209.34999999999994,104.67500000000004
12379,0.6931471805599453,407,39,211,114.65000000000008,57.325
12380,1.3862943611198906,1127,77,293,351.38,87.845
12381,1.3321790402101223,796,69,556,406.18999999999994,81.238
12383,1.6094379124341005,1532,84,754,305.6099999999999,61.122000000000014
12384,0.6931471805599453,126,26,62,212.74,106.37
12386,0.6931471805599453,354,10,214,23.91,11.955
12388,1.7917594692280547,1462,57,204,277.76999999999987,46.294999999999995
12390,-0.0,353,32,353,127.90000000000003,127.90000000000003
12391,-0.0,293,92,293,224.75999999999996,224.75999999999996
12393,1.3862943611198906,816,47,238,145.90000000000006,36.474999999999994
12394,0.6931471805599453,819,26,182,91.00999999999999,45.504999999999995
12395,2.484906649788001,2115,90,528,614.1899999999999,51.1825
12397,0.6931471805599453,1263,110,704,436.99999999999966,218.5
12398,-0.0,1394,85,1394,169.38000000000005,169.38000000000005
12399,1.3862943611198906,1178,47,364,124.76,31.19
12401,-0.0,11,5,11,48.4,48.4
12402,-0.0,94,11,94,36.199999999999996,36.199999999999996
12403,-0.0,96,5,96,35.400000000000006,35.400000000000006
12405,-0.0,857,54,857,191.39000000000001,191.39000000000001
12406,0.6931471805599453,1810,90,785,231.23999999999992,115.62000000000003
12407,1.6094379124341005,1416,57,215,251.58999999999997,50.318
12408,1.6094379124341005,1409,81,330,317.3999999999998,63.48
12410,0.6931471805599453,211,26,203,164.72000000000003,82.36000000000001
12412,1.0986122886681096,829,43,358,165.54,55.18
12413,1.0986122886681096,283,29,177,164.34,54.78000000000001
12414,1.0986122886681096,300,16,145,154.26000000000002,51.419999999999995
12417,2.1972245773362196,1551,157,60,1004.9300000000004,111.6588888888889
12418,-0.0,407,34,407,121.19000000000004,121.19000000000004
12420,-0.0,345,29,345,136.51,136.51
12421,1.3862943611198906,484,32,104,203.41000000000003,50.8525
12422,1.0986122886681096,370,39,113,127.15000000000003,42.38333333333333
12423,2.0794415416798357,1327,96,188,363.3500000000002,45.41875
12424,0.6931471805599453,740,30,532,83.42000000000003,41.71000000000001
12425,-0.0,496,36,496,92.32000000000001,92.32000000000001
12426,-0.0,258,30,258,118.09,118.09
12427,1.0986122886681096,245,25,79,142.05000000000004,47.35
12428,2.1972245773362196,3536,258,852,1360.4600000000003,151.16222222222214
12429,1.3862943611198906,1557,82,454,352.17999999999967,88.045
12430,-0.0,117,11,117,68.47999999999999,68.47999999999999
12431,2.615630577027551,2864,161,107,871.0800000000008,58.072
12432,1.6094379124341005,1801,107,1090,1139.4900000000005,227.89800000000005
12434,0.6931471805599453,386,45,69,181.98,90.99000000000001
12435,0.6931471805599453,2055,31,879,197.25000000000003,98.62500000000001
12436,-0.0,211,16,211,84.28,84.28
12437,2.890371757896165,2918,119,134,787.5500000000004,43.75277777777778
12438,0.6931471805599453,1180,84,586,381.69999999999976,190.85000000000002
12441,-0.0,121,11,121,40.71,40.71
12442,-0.0,182,12,182,40.08,40.08
12444,1.6094379124341005,1155,138,582,1119.1300000000012,223.82599999999994
12445,-0.0,62,4,62,31.95,31.95
12446,-0.0,352,58,352,248.1,248.1
12447,-0.0,190,26,190,92.93000000000002,92.93000000000002
12448,-0.0,243,22,243,130.94,130.94
12449,1.3862943611198906,1553,118,390,705.6900000000002,176.4225
12450,-0.0,128,7,64,12.940000000000001,6.470000000000001
12452,0.6931471805599453,183,21,181,97.66999999999999,48.834999999999994
12453,-0.0,473,43,473,102.91000000000005,102.91000000000005
12456,1.0986122886681096,1633,105,445,453.0699999999997,151.02333333333334
12457,1.7917594692280547,711,53,197,324.39999999999986,54.06666666666667
12458,0.6931471805599453,506,35,270,164.40000000000003,82.19999999999999
12461,0.6931471805599453,287,35,282,149.06,74.53
12462,0.6931471805599453,536,51,287,290.75,145.375
12463,1.0397207708399179,762,64,187,232.95999999999992,58.24
12464,1.7328679513998633,112,6,21,343.15,42.89375
12465,0.6931471805599453,479,46,294,129.71999999999994,64.86
12468,0.6931471805599453,366,36,127,133.57000000000005,66.785
12471,3.308777757587496,8177,150,1061,1938.7700000000034,64.62566666666667
12472,1.945910149055313,4138,218,972,789.0099999999996,112.7157142857143
12474,2.890371757896165,4802,251,11,1175.1399999999996,65.28555555555556
12475,-0.0,535,36,535,105.88000000000002,105.88000000000002
12476,2.3025850929940455,2375,172,131,1072.4800000000012,107.248
12477,1.7917594692280547,3631,191,627,1306.960000000002,217.8266666666666
12478,-0.0,236,36,236,163.36000000000004,163.36000000000004
12479,-0.0,369,30,369,81.48000000000002,81.48000000000002
12480,1.3862943611198906,1707,129,367,482.6999999999999,120.67500000000001
12481,2.3025850929940455,3294,150,85,739.3999999999999,73.93999999999998
12483,1.945910149055313,1105,46,293,327.6099999999999,46.80142857142857
12484,1.5607104090414063,2187,256,630,1072.1800000000019,178.6966666666666
12488,1.0986122886681096,529,46,169,205.40999999999988,68.47000000000001
12489,-0.0,105,15,105,88.62,88.62
12490,2.3025850929940455,3064,131,548,659.7500000000001,65.975
12491,-0.0,260,25,260,87.80000000000001,87.80000000000001
12492,0.6931471805599453,192,19,69,66.95000000000002,33.474999999999994
12493,0.6931471805599453,206,19,87,77.84999999999998,38.925
12494,1.7917594692280547,696,61,8,247.89,41.315
12497,-0.0,1236,14,1236,28.84,28.84
12498,1.0986122886681096,159,21,69,96.55000000000001,32.18333333333333
12500,2.2718685126965625,2674,33,242,307.4,27.94545454545454
12502,1.6094379124341005,820,102,171,944.5100000000008,188.902
12504,-0.0,51,3,51,20.5,20.5
12506,-0.0,23,23,23,73.50000000000001,73.50000000000001
12507,0.6931471805599453,894,19,219,97.87,48.935
12508,0.6931471805599453,271,57,202,118.32000000000002,59.16000000000001
12509,-0.0,55,7,55,38.95,38.95
12510,0.6931471805599453,353,29,294,140.69,70.345
12512,0.6931471805599453,96,31,92,81.85,40.925
12513,-0.0,456,34,456,72.07,72.07
12514,-0.0,440,51,440,168.14000000000001,168.14000000000001
12515,-0.0,131,16,131,108.50000000000001,108.50000000000001
12516,0.6931471805599453,875,20,345,70.86999999999999,35.435
12517,1.6094379124341005,1349,232,413,658.3399999999995,131.668
12518,1.3321790402101223,1318,84,187,351.80999999999966,70.362
12519,-0.0,175,17,175,52.59,52.59
12520,1.6094379124341005,1430,120,611,473.58999999999946,94.718
12521,-0.0,309,38,309,113.84000000000002,113.84000000000002
12522,0.6931471805599453,194,11,129,60.01,30.005000000000003
12523,2.3978952727983707,863,82,43,485.65999999999974,44.150909090909096
12524,2.0794415416798357,3699,113,392,420.06,52.5075
12526,1.0986122886681096,632,64,318,238.12000000000003,79.37333333333332
12527,1.0986122886681096,234,18,113,52.730000000000004,17.576666666666664
12528,1.7917594692280547,756,50,281,504.8899999999999,84.14833333333333
12530,1.3862943611198906,900,50,95,248.41000000000003,62.1025
12531,-0.0,45,17,45,64.75999999999999,64.75999999999999
12532,-0.0,153,16,153,59.17,59.17
12534,-0.0,651,63,651,191.23,191.23
12535,0.6931471805599453,219,28,115,151.35,75.67500000000001
12538,-0.0,191,21,191,76.51000000000002,76.51000000000002
12539,1.0397207708399179,2067,157,643,1140.190000000003,285.04749999999996
12540,2.833213344056216,6684,277,300,1826.1400000000033,107.41999999999999
12541,1.0986122886681096,680,46,288,188.02000000000004,62.673333333333325
12544,-0.0,136,19,136,78.01999999999998,78.01999999999998
12545,0.6931471805599453,523,42,346,201.18999999999988,100.59500000000001
12546,0.6931471805599453,617,58,459,219.49999999999991,109.75
12547,0.6931471805599453,134,7,109,63.6,31.8
12548,-0.0,49,5,49,33.6,33.6
12550,-0.0,569,57,569,176.15,176.15
12551,-0.0,100,10,100,16.8,16.8
12552,0.6931471805599453,88,20,85,182.31,91.155
12553,2.3025850929940455,1926,94,407,608.2099999999996,60.82099999999999
12556,0.6931471805599453,355,100,163,319.63999999999976,159.82
12557,1.6094379124341005,4384,15,400,71.83,14.366
12559,0.6931471805599453,281,20,245,61.78000000000001,30.890000000000004
12560,1.0986122886681096,1110,91,812,299.90999999999985,99.96999999999998
12561,-0.0,177,16,177,47.43000000000001,47.43000000000001
12562,1.7478680974667573,1779,99,183,535.6199999999993,76.51714285714286
12564,-0.0,133,21,133,117.10000000000002,117.10000000000002
12565,-0.0,80,9,80,21.16,21.16
12566,-0.0,265,19,265,74.16999999999999,74.16999999999999
12569,3.422414204014729,1800,92,115,1003.7000000000004,31.365624999999994
12571,0.6931471805599453,523,31,197,44.9,22.45
12572,0.6931471805599453,452,53,293,253.66999999999993,126.83500000000004
12573,-0.0,84,26,84,58.7,58.7
12574,-0.0,61,11,61,57.2,57.2
12576,1.6094379124341005,967,72,199,211.59999999999997,42.32
